fdc_id,amount,measure_unit,modifier,gram_weight
167857,1.0,,oz,28.35
167858,1.0,,ear (yield after cooking),111.0
167858,1.0,,"unit, cooked (yield from 1 lb raw meat)",422.0
167859,4.0,,oz,113.0
167860,1.0,,cup,140.0
167860,3.0,,oz,85.0
167861,4.0,,oz,113.0
167861,1.0,,oz,28.35
167862,1.0,,oz,28.35
167862,4.0,,oz,113.0
167863,3.0,,oz,85.0
167864,1.0,,oz,28.35
167864,1.0,,lb,453.6
167865,4.0,,oz,113.0
167865,1.0,,oz,28.35
167866,3.0,,oz,85.0
167867,4.0,,oz,113.0
167867,1.0,,oz,28.35
167868,3.0,,oz,85.0
167868,1.0,,chop,215.0
167869,2.0,,slices (6 per 6-oz pkg.),57.0
167869,3.0,,oz,85.0
167869,1.0,,package (6 oz),170.0
167870,3.0,,oz,85.0
167870,1.0,,lb,453.6
167871,1.0,,cup,140.0
167871,3.0,,oz,85.0
167872,3.0,,oz,85.0
167872,1.0,,cup,140.0
167873,1.0,,oz,28.35
167873,1.0,,patty,65.0
167874,1.0,,slice,57.0
167874,1.0,,oz,28.35
167875,1.0,,cup,140.0
167875,1.0,,oz,28.35
167876,1.0,,cup,140.0
167876,3.0,,oz,85.0
167877,1.0,,oz,28.35
167877,3.0,,oz,85.0
167878,3.0,,oz,85.0
167878,1.0,,oz,28.35
167879,1.0,,cup,140.0
167879,3.0,,oz,85.0
167880,3.0,,oz,85.0
167880,1.0,,cup,140.0
167881,1.0,,"piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",275.0
167881,3.0,,oz,85.0
167882,3.0,,oz,85.0
167882,1.0,,chop,172.0
167883,3.0,,oz,85.0
167883,1.0,,chop,169.0
167884,3.0,,oz,85.0
167884,1.0,,chop,215.0
167885,1.0,,cup,140.0
167885,3.0,,oz,85.0
167886,1.0,,cup,140.0
167886,3.0,,oz,85.0
167887,3.0,,oz,85.0
167887,1.0,,chop,142.0
167888,1.0,,oz,28.35
167888,1.0,,lb,453.6
167889,4.0,,oz,113.0
167889,1.0,,"chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 113 g)",101.0
167890,1.0,,"chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 113 g)",81.0
167890,3.0,,oz,85.0
167891,3.0,,oz,85.0
167891,1.0,,"chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 113 g)",80.0
167892,3.0,,oz,85.0
167892,1.0,,"chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 113 g)",75.0
167893,3.0,,oz,85.0
167893,1.0,,"chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 113 g)",66.0
167894,3.0,,oz,85.0
167894,1.0,,"piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",283.0
167895,1.0,,"rib without refuse (Yield from 1 raw rib, with refuse, weighing 196g)",128.0
167895,4.0,,oz,113.0
167896,3.0,,oz,85.0
167896,1.0,,"rib without refuse (Yield from 1 cooked rib, with refuse, weighing 140g)",86.0
167897,1.0,,rack,138.0
167898,1.0,,"chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 113 g)",82.0
167898,3.0,,oz,85.0
167899,3.0,,oz,85.0
167899,1.0,,chop,159.0
167900,3.0,,oz,85.0
167900,1.0,,roast,638.0
167901,4.0,,oz,113.0
167901,1.0,,chop,210.0
167902,4.0,,oz,113.0
167902,1.0,,oz,28.35
167903,3.0,,oz,85.0
167904,1.0,,"chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 113 g)",76.0
167904,3.0,,oz,85.0
167905,3.0,,oz,85.0
167905,1.0,,roast,402.0
167906,3.0,,oz,85.0
167906,1.0,,"piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",261.0
167907,1.0,,lb,453.6
167907,1.0,,oz,28.35
167908,3.0,,oz,85.0
167908,1.0,,"piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",236.0
167909,1.0,,serving,84.0
